"SRR1554536"	"SRR1554538"	"SRR1554556"	"SRR1554561"	"SRR1554566"	"SRR1554568"
"X100126356"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126447"	"0"	"4"	"0"	"0"	"2"	"0"
"X100126582"	"4"	"148"	"24"	"10"	"45"	"66"
"X100126693"	"19"	"2"	"8"	"2"	"31"	"8"
"X100126780"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126781"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126784"	"103"	"598"	"850"	"1295"	"302"	"253"
"X100126791"	"0"	"0"	"2"	"2"	"5"	"0"
"X100126793"	"27"	"53"	"42"	"42"	"54"	"40"
"X100126798"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126799"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126800"	"0"	"0"	"0"	"0"	"0"	"0"
"X100127206"	"0"	"1"	"3"	"0"	"0"	"1"
"X100127885"	"0"	"10"	"10"	"0"	"2"	"0"
"X100127888"	"0"	"3"	"25"	"52"	"10"	"6"
"X100127889"	"3"	"37"	"29"	"10"	"31"	"30"
"X100127891"	"21"	"99"	"51"	"18"	"122"	"104"
"X100127909"	"0"	"0"	"0"	"0"	"0"	"0"
"X100127910"	"12"	"8"	"37"	"34"	"0"	"0"
"X100127919"	"0"	"0"	"0"	"0"	"0"	"0"
"X100127946"	"3"	"0"	"2"	"4"	"0"	"0"
"X100127950"	"0"	"59"	"4"	"4"	"26"	"17"
"X100127961"	"2"	"8"	"3"	"5"	"4"	"7"
"X100127974"	"5"	"70"	"38"	"8"	"47"	"42"
"X100127983"	"38"	"139"	"50"	"17"	"120"	"160"
"X100127987"	"2"	"9"	"8"	"2"	"7"	"4"
"X100128002"	"0"	"22"	"0"	"21"	"20"	"18"
"X100128003"	"85"	"1325"	"323"	"301"	"1194"	"766"
"X100128023"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128028"	"2"	"11"	"15"	"17"	"58"	"57"
"X100128031"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128054"	"11"	"204"	"14"	"3"	"124"	"126"
"X100128055"	"0"	"7"	"19"	"4"	"1"	"6"
"X100128059"	"0"	"0"	"4"	"2"	"2"	"0"
"X100128064"	"4"	"4"	"144"	"53"	"0"	"7"
"X100128071"	"101"	"127"	"68"	"135"	"134"	"88"
"X100128076"	"5"	"2"	"10"	"48"	"4"	"4"
"X100128077"	"0"	"10"	"6"	"5"	"9"	"12"
"X100128081"	"20"	"48"	"141"	"162"	"2"	"7"
"X100128095"	"1"	"23"	"30"	"37"	"21"	"18"
"X100128098"	"1"	"3"	"2"	"6"	"0"	"2"
"X100128105"	"0"	"6"	"2"	"0"	"6"	"2"
"X100128124"	"7"	"4"	"87"	"3"	"5"	"0"
"X100128130"	"6"	"15"	"18"	"4"	"8"	"0"
"X100128131"	"43"	"1182"	"80"	"82"	"939"	"895"
"X100128139"	"1"	"4"	"3"	"2"	"0"	"1"
"X100128155"	"0"	"46"	"8"	"0"	"12"	"5"
"X100128160"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128164"	"12"	"40"	"40"	"34"	"29"	"24"
"X100128174"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128191"	"8"	"186"	"53"	"26"	"373"	"293"
"X100128239"	"84"	"113"	"329"	"450"	"149"	"99"
"X100128242"	"0"	"450"	"13"	"23"	"74"	"225"
"X100128252"	"793"	"4545"	"3136"	"1867"	"2495"	"3655"
"X100128253"	"8"	"10"	"163"	"355"	"8"	"18"
"X100128254"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128256"	"0"	"1"	"0"	"0"	"0"	"0"
"X100128260"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128262"	"2"	"38"	"5"	"14"	"12"	"7"
"X100128264"	"24"	"10"	"746"	"944"	"6"	"3"
"X100128270"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128276"	"15"	"36"	"27"	"91"	"53"	"18"
"X100128278"	"0"	"12"	"0"	"0"	"2"	"2"
"X100128285"	"53"	"579"	"220"	"230"	"433"	"244"
"X100128288"	"91"	"3275"	"428"	"157"	"2182"	"2307"
"X100128292"	"27"	"218"	"92"	"81"	"270"	"232"
"X100128300"	"86"	"1961"	"375"	"383"	"1842"	"1199"
"X100128302"	"0"	"2"	"3"	"2"	"2"	"1"
"X100128304"	"4"	"13"	"35"	"57"	"56"	"66"
"X100128310"	"0"	"52"	"0"	"4"	"14"	"12"
"X100128326"	"9"	"15"	"35"	"17"	"8"	"11"
"X100128327"	"0"	"2"	"2"	"6"	"4"	"0"
"X100128334"	"0"	"2"	"2"	"0"	"5"	"1"
"X100128338"	"24"	"121"	"61"	"96"	"148"	"87"
"X100128340"	"9"	"56"	"25"	"39"	"17"	"41"
"X100128342"	"11"	"285"	"153"	"129"	"124"	"190"
"X100128343"	"0"	"65"	"4"	"10"	"23"	"16"
"X100128346"	"7"	"79"	"23"	"38"	"69"	"39"
"X100128355"	"0"	"5"	"0"	"0"	"2"	"6"
"X100128361"	"26"	"459"	"115"	"140"	"363"	"362"
"X100128364"	"54"	"2496"	"451"	"544"	"421"	"1259"
"X100128371"	"0"	"7"	"2"	"2"	"6"	"4"
"X100128374"	"18"	"15"	"48"	"82"	"4"	"6"
"X100128378"	"0"	"2"	"2"	"0"	"10"	"3"
"X100128385"	"4"	"0"	"5"	"2"	"0"	"0"
"X100128398"	"147"	"3430"	"688"	"684"	"1847"	"2383"
"X100128406"	"14"	"103"	"95"	"11"	"30"	"74"
"X100128460"	"42"	"216"	"212"	"130"	"153"	"124"
"X100128482"	"0"	"0"	"2"	"2"	"16"	"2"
"X100128496"	"0"	"0"	"0"	"0"	"0"	"2"
"X100128505"	"0"	"7"	"2"	"0"	"4"	"2"
"X100128508"	"0"	"13"	"4"	"0"	"4"	"0"
"X100128511"	"25"	"21"	"29"	"38"	"4"	"0"
"X100128542"	"3"	"2"	"17"	"0"	"2"	"2"
"X100128553"	"0"	"4"	"2"	"0"	"2"	"0"
"X100128554"	"5"	"28"	"73"	"67"	"0"	"4"
"X100128563"	"2"	"33"	"0"	"13"	"24"	"2"
"X100128569"	"50"	"734"	"569"	"435"	"807"	"613"
"X100128573"	"0"	"26"	"20"	"8"	"14"	"21"
"X100128574"	"11"	"22"	"8"	"5"	"14"	"19"
